"Story","Title","Result","Date","Stability","Duration (s)"
"Flight test","login and booking tickets sucessfully and logout","SUCCESS","2022-09-14T15:54:21.196733+05:30[Asia/Calcutta]","0.0","37.63"
"Register test","Loginasadmin","SUCCESS","2022-09-14T15:55:07.5427166+05:30[Asia/Calcutta]","0.0","13.88"
